fragment,category,weight,subcat
THROTTLEMAN,"Chris Clothing, Shoes, & Accessories",2,
OSLO,"Chris Clothing, Shoes, & Accessories",2,
CAO DE LO,Pets,2,
CONSERVATORIO,"Children's Enrichment Classes",2,Music
RITA MARGARIDA DOMINGOS FERREIRA,"Children's Enrichment Classes",2,
CHILOREN S WORLD,"Children's Enrichment Classes",2,Dr. Andreia
MARGARIDA DOMINGUES DA CUNHA,"Children's Enrichment Classes",2,Marg Cunha
GOOGLE *TV,Media Subscriptions,2,
SUNNY,GADGETS,2,
*Wikiloc,GADGETS,2,
NORD* VPN,GADGETS,2,
APPLE.COM/US,GADGETS,2,
Worten,GADGETS,2,
VASILOPOULOS,Hella Travel,2,
VIVLIOPOLIO,Hella Travel,2,
ATHENS AUTHENTIC MAR,Hella Travel,2,
AIRBNB * HMPT4Y5WS3,Hella Travel,2,
MACDONALDS AEROPORTO,Hella Travel,2,
EASYJET AIR KBDM9M4,Chris Travel,2,
EWR ,Chris Travel,2,
KAPOKVILLAS.COM,Chris Travel,2,
Atm 6519,Chris Cash Spending,2,
RNE - REDE,transit,1,
TERMINAL RODOVIARIO,transit,1,
REDE EXPRESSOS,transit,1,
REDE NACIONAL EXPRES,transit,1,
Cidade togica,Rent,1,
ALINE DIAS SOUZA MENDES,Legal & Administrative Fees,1,
NOTARIAL,Legal & Administrative Fees,1,
Sportograf,Legal & Administrative Fees,1,
OVERSEAS PPT,Legal & Administrative Fees,1,
SUBSTITUICAO DE CARTAO,Legal & Administrative Fees,1,
6510 A8,Car/Gas/Tolls/Parking/repair,1,
 A6 VI,Car/Gas/Tolls/Parking/repair,1,
0885 A13 ,Car/Gas/Tolls/Parking/repair,1,
6519 A17 ,Car/Gas/Tolls/Parking/repair,1,
VIA VERDE,Car/Gas/Tolls/Parking/repair,1,
Kerby A Ferris,Car/Gas/Tolls/Parking/repair,1,
6519 MUNICIPIO CALDAS RAICAL,Car/Gas/Tolls/Parking/repair,1,
MUNICIPIO CALDAS,Car/Gas/Tolls/Parking/repair,1,
OCID SEGUROS DEVOL,Car/Gas/Tolls/Parking/repair,1,Insurance
SEGURANCA SOCIAL,Income Taxes,1,
TAXACT CONSUMER,Income Taxes,1,
SMAS Caldas,Water Bill,1,
vodafone.pt,Google Fi + Cell phone,1,Vodafone
PHYSIOCLEM,Medical + Birth,1,
Farmacia,Medical + Birth,1,Pharmacy
IM SAUDE X,Medical + Birth,1,
GRANDVISION,Medical + Birth,1,Glasses/Contacts
Allday,Medical + Birth,1,Pharmacy
CALDAS GLOBALTHERAPYCAL,Medical + Birth,1,
NSTITITO MICROC,Medical + Birth,1,Glasses/Contacts
LIOL AGRADECE,Groceries,1,LIDL
LIDL #1527,Groceries,1,LIDL
LAURA VERON,Groceries,1,
SUPERMARKET,Groceries,1,
COST U LESS,Groceries,1,
WELL S VIVACI CALDAS,Groceries,1,WELLS
WELLS S,Groceries,1,WELLS
CERVEJA NETUS,Chris's Lunches/Fast Food,1,
ROCKY S CAFE,Chris's Lunches/Fast Food,1,
LUCKY 7 WINE,Chris's Lunches/Fast Food,1,
NEIGHBORSWINESHOP,Chris's Lunches/Fast Food,1,
MULTIMARCA,Chris's Lunches/Fast Food,1,
FAYZUL KEBAB,Chris's Lunches/Fast Food,1,
QUEBRAMAR VILA NOVA,Chris's Lunches/Fast Food,1,
MAREC ESPACO CASA,Chris's Lunches/Fast Food,1,
DELIRIUM CAFE LIS,Chris's Lunches/Fast Food,1,
BAIXA CHIADO,Chris's Lunches/Fast Food,1,
167825390832809,Restaurants/Dinner Take Out,1,
Green Love Restauran,Restaurants/Dinner Take Out,1,
CAMAROEIRO REAL,Restaurants/Dinner Take Out,1,
LEITAO DA MEALHADA,Restaurants/Dinner Take Out,1,
DONA BRANCA,Restaurants/Dinner Take Out,1,
TASCA,Restaurants/Dinner Take Out,1,
LETRARIA,Restaurants/Dinner Take Out,1,
Roots,Restaurants/Dinner Take Out,1,
AVOCADO,Restaurants/Dinner Take Out,1,
ORIENTE REST BUFFET,Restaurants/Dinner Take Out,1,
LITRO,Restaurants/Dinner Take Out,1,
ESPLANADA DO JARDIM,Restaurants/Dinner Take Out,1,
RAZZLE DAZZLE,Restaurants/Dinner Take Out,1,
TABERNA,Restaurants/Dinner Take Out,1,
A CASA ALCOBACA,Restaurants/Dinner Take Out,1,
CASA DO BINGRE,Restaurants/Dinner Take Out,1,
PIZZARIA LA PIAZZA,Restaurants/Dinner Take Out,1,
Fogo e Sabor,Restaurants/Dinner Take Out,1,
ETNAGA CONS,Hella's Hobbies and Sports,1,
RUPO DESPORTIVO CONCHA AZU,Hella's Hobbies and Sports,1,
HOTEL JERONIMOS,Hella's Hobbies and Sports,1,
DEPARTMENT OF REAL ESTATE,Hella's Hobbies and Sports,1,
FOTOSDOPIO.PT,Hella's Hobbies and Sports,1,
TEATROJLSILVA,Hella's Hobbies and Sports,1,
RunningXpert,Hella's Hobbies and Sports,1,
ATHLETEREG,Hella's Hobbies and Sports,1,
TRAININGPEAKS,Hella's Hobbies and Sports,1,
COGNITIVEMETRICS,Hella's Hobbies and Sports,1,
RUNKD.IT 0-55EC-4EF1-803D,Hella's Hobbies and Sports,1,
ALL RUN,Hella's Hobbies and Sports,1,
Globalpix Marathonphoto,Hella's Hobbies and Sports,1,
WWW.REALIQ.ONLINE,Hella's Hobbies and Sports,1,
GAREDENS,Hella's Lunches/Fast Food,1,
TANIMARA COMERCIO COCAL,Hella's Lunches/Fast Food,1,
ZAHIR KEBAB,Hella's Lunches/Fast Food,1,
EXQUISITE,Hella's Lunches/Fast Food,1,
krispy-kreme-forum-des,Hella's Lunches/Fast Food,1,
PUBLIC SYNTAGMA,Hella's Lunches/Fast Food,1,
PALAIS ROYAL,Hella's Lunches/Fast Food,1,
UBER EATS,Hella's Lunches/Fast Food,1,
TRF MB WAY P/ *****4963,Hella's Lunches/Fast Food,1,
APOMERO CHIOS GR,Hella's Lunches/Fast Food,1,
CHIOS SHOP CHIOS,Hella's Lunches/Fast Food,1,
SIX THOUSAND ISLANDS,Hellas Podcast,1,
MB WAY P/ *****5954,Chris Hobbies,1,Rafael
RAFAEL SILVA CUNHA,Chris Hobbies,1,Rafael
WAVEMOTION,Chris Hobbies,1,
TRE MB WAY P/ ****#*3133,Chris Hobbies,1,
JAMINE,Chris Hobbies,1,Jamine
CRONOMETER,Chris Hobbies,1,
SPRINTER MEGACENTROS DEL,Chris Hobbies,1,
INATURALIST,Chris Hobbies,1,
ECOGROWING,Chris Hobbies,1,
HIPERFAMILA,Caldas home wares etc,1,
A.M.SHOPPING,Caldas home wares etc,1,
MAXMAT,Caldas home wares etc,1,
IKEA,Caldas home wares etc,1,
JOM PT,Caldas home wares etc,1,
JOM - CALDAS RAINHA,Caldas home wares etc,1,
VIVA 1900-001,Caldas home wares etc,1,
ECOPLANTARIUM,Caldas home wares etc,1,
TRE MB WAY P/ ***#*4493,Lessons & Learning,1,IRIS
*##4493,Lessons & Learning,1,IRIS
NEW YORK UNIVERSITY,Lessons & Learning,1,
PIMSLEUR,Lessons & Learning,1,
CE SHOP REAL ESTATE ED,Lessons & Learning,1,
GELATOMANIA,Family Entertainment,1,
FOTOSOUVENIR AMARANTFAF,Family Entertainment,1,
OCEANARIO,Family Entertainment,1,
CULTURCALDAS,Family Entertainment,1,
Splash,Family Entertainment,1,
BERLENGATUR,Family Entertainment,1,
TURTLEBACK,Family Entertainment,1,
ET CAR HIRE,Family Vacations,1,sao miguel
RYANAIR,Family Vacations,1,
AIRBNB,Family Vacations,1,
Trainline,Family Vacations,1,
HERTZ,Family Vacations,1,
EASYJET,Family Vacations,1,
FlyTAP,Family Vacations,1,
PASARON,Family Vacations,1,Caceres
PONTA DELGAGADA,Family Vacations,1,
46827/086126624,Family Vacations,1,sao miguel
GERES,Family Vacations,1,GERES
EcoBeach,Family Vacations,1,slide and splash
TAP AIR     000001251641,Family Vacations,1,Bob visit April
PALMEIRAS GRILL BAR,Family Vacations,1,
RENT CAR ILHA VERDE,Family Vacations,1,
EXPRESS PLAZA DE LA,Family Vacations,1,
BAR LA MURALLA,Family Vacations,1,
TAP AIRLINE 0474207095446,Family Vacations,1,
GRANDOLA,Family Vacations,1,
BRISA AREAS SERVICO,Family Vacations,1,
LA BELLA PIZZA V N MILF,Family Vacations,1,
FONTEMIRA,Family Vacations,1,
MERIDA,Family Vacations,1,
ZERISCOFFEE,Family Vacations,1,
NICKEL BURGER ARENAL,Family Vacations,1,
AIRBNB  HM4TNBRBXY,Family Vacations,1,sao miguel
AIRBNB * HMEQFB3QKE,Family Vacations,1,Salamanca
TAP AIRLINE 0470010421404,Family Vacations,1,Bob visit August
BKG*HOTEL,Family Vacations,1,
TAP AIRLINE 0474207049847,Family Vacations,1,
ET CAR HIRE,Family Vacations,1,sao miguel
ITCH.IO,"Books, mostly hella",1,
LIDEL LISBOA,"Books, mostly hella",1,
LIBRERIA LA PUERTA,"Books, mostly hella",1,
PUBLIC AERODROMIO,"Books, mostly hella",1,
ABEBOOKS.CO,"Books, mostly hella",1,
AQUI HA GATO,"Books, mostly hella",1,Kids Books
JOAO SERRENHO LDA,"Birthdays, Christmas, Gifts, Parties",1,
WOLVERINEWORLDWIDE,"Birthdays, Christmas, Gifts, Parties",1,
Microsoft*Store,"Birthdays, Christmas, Gifts, Parties",1,
Microsoft Store,"Birthdays, Christmas, Gifts, Parties",1,
PAPELARIA ALMEIDA,"Birthdays, Christmas, Gifts, Parties",1,
PATINHAS  CALDA,"Birthdays, Christmas, Gifts, Parties",1,
QUINTA SENHORA DO AR,"Birthdays, Christmas, Gifts, Parties",1,
ALIEXPRESS.COM,Bicycle Maintenance,1,
Claire,Kids Clothing and Baby Gear,1,
HM Leiria,Kids Clothing and Baby Gear,1,
HM PT0312,Kids Clothing and Baby Gear,1,
C  A MODAS,Kids Clothing and Baby Gear,1,
SPORT ZONE,Kids Clothing and Baby Gear,1,
SALSA LEIRIA,"Hella Clothing, Shoes, Accessories",1,
LEIRIASHOPPING,"Hella Clothing, Shoes, Accessories",1,
OYSHO,"Hella Clothing, Shoes, Accessories",1,
ANTHRAX SPORTWEAR,"Hella Clothing, Shoes, Accessories",1,
ORIVESARIA,"Hella Clothing, Shoes, Accessories",1,
Biju Ericeira,"Hella Clothing, Shoes, Accessories",1,
SPORTINO,"Hella Clothing, Shoes, Accessories",1,
PARFOIS,"Hella Clothing, Shoes, Accessories",1,
MOVE DANCE,"Hella Clothing, Shoes, Accessories",1,
Stradivarius,"Hella Clothing, Shoes, Accessories",1,
BILLABONG,"Hella Clothing, Shoes, Accessories",1,
WOMEN SECRET,"Hella Clothing, Shoes, Accessories",1,
MARIA PANO,"Hella Clothing, Shoes, Accessories",1,
GLOBO VERMELHO,"Hella Clothing, Shoes, Accessories",1,
SP VOXY,"Hella Clothing, Shoes, Accessories",1,
MANGO LISBOA,"Chris Clothing, Shoes, & Accessories",1,
VANS COLOMBO,"Chris Clothing, Shoes, & Accessories",1,
LISBON COLOMBO J3PO,"Chris Clothing, Shoes, & Accessories",1,
UNIQLO,"Chris Clothing, Shoes, & Accessories",1,
NIKE,"Chris Clothing, Shoes, & Accessories",1,
HM PT0301 Lisboa PT,"Chris Clothing, Shoes, & Accessories",1,
MACMILLAN CANCER,Charity/Activist Contributions,1,
CHUFFED.OR,Charity/Activist Contributions,1,
ACT*time to,Charity/Activist Contributions,1,
DONORSCHOOSE,Charity/Activist Contributions,1,
TRE MB WAY P/ *****6234,"Children's Enrichment Classes",1,J Santos
**6§234,"Children's Enrichment Classes",1,J Santos
PELICANO RADIANTE,"Children's Enrichment Classes",1,quinta de salir
QUINTAS,"Children's Enrichment Classes",1,quinta de salir
Respostas Invisiveis,"Children's Enrichment Classes",1,J Santos
TRF MB WAY P/ *****7470,"Children's Enrichment Classes",1,Ceramica
BALANCE HEALTH,Fitness & Health Hacking,1,Balance
CHATGPT,Media Subscriptions,1,
404 MEDIA,Media Subscriptions,1,
HBO Nordic,Media Subscriptions,1,
RAJ PHONE SHOP CALDAS,GADGETS,1,
TECNO LOGIC,GADGETS,1,
INFOMAIS,GADGETS,1,
WWW.DJI.COM,GADGETS,1,
DROPBOX,GADGETS,1,
Pobox,GADGETS,1,
iRepair AE GLYFADA GR,GADGETS,1,
FASTMAIL,GADGETS,1,
LASTPASS.COM,GADGETS,1,
RADIO POPULAR,GADGETS,1,
CHAVIARAS STEFANOS,Hella Travel,1,
ATTRATTIVO_ERMOU,Hella Travel,1,
KOSTARELOU,Hella Travel,1,
SPATA GR,Hella Travel,1,
KALLITHEA GR,Hella Travel,1,
BOLT.EUO2508282154,Hella Travel,1,
BOLT.EUO2503122331,Hella Travel,1,
SWEETIES,Hella Travel,1,
YESIM,Hella Travel,1,
FERRYHOPPER,Hella Travel,1,
EVERYPAY*SKROUTZ,Hella Travel,1,
FLYTAP.COM  0014257597,Hella Travel,1,
MACHADO   HIGINO LDA,Hella Travel,1,
UNITED      0162480697788,Hella Travel,1,
GP MUSEE PICASSO2335676,Hella Travel,1,
STUDIO HARMONIC,Hella Travel,1,
ARTEUM SERVICES,Hella Travel,1,
PIERRE HERME,Hella Travel,1,
C POMPIDOU VEL  2359780,Hella Travel,1,
FAME            9260563,Hella Travel,1,
EASYPAY LISBOA,Hella Travel,1,
EASYJET AIR K8JNQZ8,Hella Travel,1,
HALIOTIS,Chris Travel,1,
LAGINHA INVESTIM CV,Chris Travel,1,
AIRBNB * HME22PMMAF,Chris Travel,1,
AMALIE CAR RENTAL,Chris Travel,1,
BOTTLE KING LIVINGSTON,Chris Travel,1,
SQ *AIRPORT TAXI,Chris Travel,1,
TAP AIRLINE 0470014775400,Chris Travel,1,
TAP AIR     0000016006572,Chris Travel,1,
IATI SEGUROS,Chris Travel,1,
TAP AIR     0000013069340,Chris Travel,1,
ATM 6519,Chris Cash Spending,1,
ATM 7455,Chris Cash Spending,1,
RECTIFICACAO,Fraud,1,
VISS745 COMPRA 745uUSD,Fraud,1,
bodsshop.com,Fraud,1,
Lev ATw 0885,Hella Cash Spending,1,
ROM LISBOA,transit,0,
COMBOIOS,transit,0,
Rede Expressos,transit,0,
Flix,transit,0,
TRANSTEJO,transit,0,
Josepha Ling Barrett,Rent,0,
CIDADE LOGICA,Rent,0,
Colegio rainha,School Tuition and Fees,0,
DDPT16103627,School Tuition and Fees,0,
Bruno Afonso,Legal & Administrative Fees,0,
WIRED FUNDS FEE,Legal & Administrative Fees,0,
IMPOSTO DE SELO,Legal & Administrative Fees,0,
Annual Membership Fee,Legal & Administrative Fees,0,
COMISSAO TRF MBWAY,Legal & Administrative Fees,0,
SAUDE ORAL,Dental,0,
DDPT91100919OCS00254458645 DI78637755,Health Insurance Premiums,0,
Bonita trimeloni,Car/Gas/Tolls/Parking/repair,0,
VARANDAS E ALMEIDA,Car/Gas/Tolls/Parking/repair,0,Repair
PETROALVES,Car/Gas/Tolls/Parking/repair,0,Gas
PARQUE ESTACION,Car/Gas/Tolls/Parking/repair,0,
SERVICO CEPSA,Car/Gas/Tolls/Parking/repair,0,Gas
CA E RA,Car/Gas/Tolls/Parking/repair,0,Repair
EST SERVICO PRIO,Car/Gas/Tolls/Parking/repair,0,Gas
DDPT91100919OCS00254663509 AU83469628,Car/Gas/Tolls/Parking/repair,0,
EMES N7,Car/Gas/Tolls/Parking/repair,0,
M COUTINHO OESTE,Car/Gas/Tolls/Parking/repair,0,Repair
